EnemyID,Name,Tags,Comment,Enabled,Dlc,IsSpawnInfo,Chapter,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW,Guid,SceneFile
Em3100,Marguerite Baker (Stalker),prefab,,TRUE,,FALSE,-1,0,0,0,0,0,0,1,0b9639f9-b27e-08d9-0143-dcde7981851a,natives/stm/scenes/enemy/em3100.scn.20
Em3100,Marguerite Baker (Stalker),prefab,,TRUE,,FALSE,-1,0,0,0,0,0,0,1,0c7beeec-b23d-0ab3-323a-486ce8c073b0,natives/stm/scenes/enemy/em3100.scn.20
Em3100,Marguerite Baker (Stalker),prefab,,TRUE,,FALSE,-1,0,0,0,0,0,0,1,26d8bfd4-b1a1-44f9-8557-230d11afff97,natives/stm/scenes/enemy/em3100.scn.20
Em8100,Jack Baker (Mutated),prefab exclude,,TRUE,,FALSE,-1,0,0,0,0,0,0,1,2c90294a-df2c-491e-a555-74a96b82a588,natives/stm/scenes/enemy/em8100.scn.20
Em5400,Flying Bug,prefab,,TRUE,,TRUE,-1,-0.1722,0.442,-0.19,-0.704729,-0.0579393,0.06531612,0.7040837,048fafe3-2d98-0170-2a70-216888d6ff41,natives/stm/scenes/enemy/em5510.scn.20
Em5400,Flying Bug,prefab,,TRUE,,TRUE,-1,-0.1722,0.442,-0.19,-0.704729,-0.0579393,0.06531612,0.7040837,6dffe9af-ac7b-090a-12f2-8f36e4429331,natives/stm/scenes/enemy/em5510.scn.20
Em5400,Flying Bug,prefab,,TRUE,,TRUE,-1,-0.1722,0.442,-0.19,-0.704729,-0.0579393,0.06531612,0.7040837,57f7bf5b-36a1-0a18-06d5-ccfe6590cfaf,natives/stm/scenes/enemy/em5510.scn.20
Em8900,Eveline (Final Boss),prefab exclude,,TRUE,,FALSE,-1,0,0,0,0,0,0,1,a6595776-4eac-0cf4-0a31-18e7b513d112,natives/stm/scenes/enemy/em8900.scn.20
Em8900,Eveline (Final Boss),prefab exclude,,TRUE,,FALSE,-1,0,0,0,0,0,0,1,a0b39d16-5728-0d24-121c-238a50e8c27c,natives/stm/scenes/enemy/em8900.scn.20
Em8900,Eveline (Final Boss),prefab exclude,,TRUE,,FALSE,-1,0,0,0,0,0,0,1,00b24f98-ce84-068a-36e4-e2188f95ec61,natives/stm/scenes/enemy/em8900.scn.20
Em8900,Eveline (Final Boss),prefab exclude,,TRUE,,FALSE,-1,0,0,0,0,0,0,1,63c2da13-7cca-0972-358f-e011ad4d327b,natives/stm/scenes/enemy/em8900.scn.20
Em8900,Eveline (Final Boss),prefab exclude,,TRUE,,FALSE,-1,0,0,0,0,0,0,1,2a9cee48-133b-017d-0166-3e8af8d30d1d,natives/stm/scenes/enemy/em8900.scn.20
Em8900,Eveline (Final Boss),prefab exclude,,TRUE,,FALSE,-1,0,0,0,0,0,0,1,422368bd-43b8-4960-b057-668fdd740b23,natives/stm/scenes/enemy/em8900.scn.20
Em4200,Molded (Fat),prefab,,TRUE,,FALSE,-1,0,0,0,0,0,0,1,1348c5ea-d7c4-40f7-a7f5-dc83912752e9,natives/stm/scenes/enemy/em4200.scn.20
Em4000,Molded (Blade),prefab,,TRUE,,FALSE,-1,0,0,0,0,0,0,1,d2f909d8-a0b7-07e1-3f97-8c94d27cc278,natives/stm/scenes/enemy/em4000.scn.20
Em4000,Molded (Normal),prefab,,TRUE,,FALSE,-1,0,0,0,0,0,0,1,de5b9771-cad5-4adc-8661-a4e6f2bb3916,natives/stm/scenes/enemy/em4000.scn.20
Em5400,Flying Bug,prefab,,TRUE,,TRUE,-1,0,-0.0788,0.04,-0.7071068,0,0,0.7071068,f4a49ba4-2515-0b88-08de-02ce48a82b7c,natives/stm/scenes/enemy/em5512.scn.20
Em5400,Flying Bug,prefab,,TRUE,,TRUE,-1,0,-0.0788,0.04,-0.7071068,0,0,0.7071068,95d31d0c-08f1-0143-3fb0-85eaae86f2ec,natives/stm/scenes/enemy/em5512.scn.20
Em5400,Flying Bug,prefab,,TRUE,,TRUE,-1,0,-0.0788,0.04,-0.7071068,0,0,0.7071068,95964179-3761-06f9-1994-e63c5c865398,natives/stm/scenes/enemy/em5512.scn.20
